Found 27 landing_brief row(s).
  ✓ d9f74306-d427-4f6c-8b34-43b5c2693ad9 (brand 3d225230-5833-478e-b750-014efc57f1f5)
  ✓ dce397f2-c3b2-48dc-bd48-390563098ae4 (brand c160f8b5-8a98-4f9d-b276-3d7411cfd83e)
  ✓ f6d9b4ab-09b3-4e30-9959-3f6abf937774 (brand cfdcd02b-e8bf-4632-b17f-7d03c3463c8e)
  ✓ 64be1ebf-c243-4aaa-8c17-135c4a0cd233 (brand f14621b8-d73e-4aeb-a7bf-d4e1b0100fc1)
  ✓ 28c299d9-3810-44d5-a172-128945ed9c9d (brand ee1dd7d8-7893-4997-9d7b-dd1814b8db1d)
  ✓ afe6ad4c-8052-43b3-900f-055807e04e1c (brand acf7b6fd-e16e-4715-97cd-32544895caa4)
  ✓ be14b6a4-f3c1-44b9-9f75-7c3e71ea679a (brand 193daae1-8f69-4c19-b6bb-bc107fdc0d5a)
  ✓ c2176ce8-2cd7-4e6e-a0a1-7e4a30df3aac (brand b0badd99-732e-46fa-b59f-12471448e31a)
  ✓ a9ea520b-c4e2-4cdc-9dfe-68c8e17bdc34 (brand 62cd0532-bf5e-4971-9d7f-3e538371c63d)
  ✓ 6cccbcdb-74bf-4d65-9755-697c08fe5294 (brand 72c5a02f-35d9-4e83-894a-ef0535f05f63)
  ✓ ad6eb2fb-a8ae-45a0-b98e-8623e330285c (brand 1328e066-e957-4bf5-93a5-3a6b41a4b43b)
  ✓ 75483de4-6026-4443-bce5-2d544b16167f (brand fe8442c6-3459-42b4-ba9d-6d2959f6f634)
  ✓ 4816e1b4-f1a3-4350-ae62-78baa274bcfd (brand efc3bf18-96d4-44ce-b77f-6f18148d98aa)
  ✓ a8b7cd9a-cc9f-4118-a3a7-c18b4c33731e (brand 3d225230-5833-478e-b750-014efc57f1f5)
  ✓ 43c7b928-a060-425f-9f62-2d1da21ddcef (brand 5f0e5242-d529-4ee2-a292-38bd22b1d91f)
  ✓ 157ebb0a-0b21-4d52-9ff7-8f41b9bcd6a6 (brand 64b98eb2-7038-4a14-b433-eea0c61aaa22)
  ✓ abd5ccfd-29ce-4412-9d30-08567a74b562 (brand e3942043-e7ad-4017-a27b-b7ee806b5917)
  ✓ 3f27855e-35d3-4425-b66e-6c73528040e8 (brand 92c6a934-c8a5-41de-bd8e-c8704608f4be)
  ✓ dd6d8203-354b-45e2-8573-c58b01769f75 (brand b56d7683-21bd-403b-87db-732500583ef1)
  ✓ 651c5415-c063-4d2f-9265-e0c8cf1787e1 (brand 455e4ca4-16e2-4b50-8449-e6ac186880bc)
  ✓ 1e25f163-cdc1-4b65-917b-e1e82e0b0c23 (brand 1e472cfe-3ab0-418e-97c6-396bb92a1a10)
  ✓ 6b209ac7-0f39-4a41-9ca6-d7136f826492 (brand 575ac980-38cc-4eba-a515-4be625d4e21a)
  ✓ 1696e169-fd69-409b-8419-d7c052fdfa05 (brand 60edecca-99f8-4c9b-819d-4fcaf3202a25)
  ✓ 6a64aea7-55eb-40db-a992-8229237edf6e (brand bcbd7524-89ac-4b51-ae64-86e9cb54fbd2)
  ✓ 34e1a6a2-4d1a-4f69-807a-fea5e199ccc0 (brand 5f0e5242-d529-4ee2-a292-38bd22b1d91f)
  ✓ 29b0e70c-5ee0-41c8-b2a2-43710178c79d (brand 26c12544-4791-42f5-a250-4069cce5d74f)
  ✓ d0dd5f0b-3fc0-493a-953c-a770083d88b7 (brand d38c555f-aa6d-48e3-9fb1-a6fd3ceaf708)

Summary: 27/27 regenerated, 0 failed.
